week,games,mean_ae,mean_vegas_ae,mean_se,mean_vegas_se,RMSE,vegas_RMSE,straight_up_win_pct,vegas_straight_up_win_pct,ATS_win_pct,AE_ATS_win_pct
1,34,17.233948141272492,12.727941176470589,474.2844712807346,256.3016748366013,21.778073176494164,16.009424562944208,0.6176470588235294,0.7352941176470589,0.4705882352941176,0.38235294117647056
2,44,14.328694411600358,11.928030303030305,316.78009959654935,235.76199494949495,17.79831732486387,15.35454313711401,0.6136363636363636,0.6136363636363636,0.4545454545454546,0.3863636363636363
3,52,16.338994554041236,13.243589743589745,458.41815448944624,271.7596153846154,21.410701868211753,16.4851331624775,0.8076923076923077,0.8076923076923077,0.40384615384615385,0.34615384615384615
4,54,12.977781275636625,12.452160493827162,263.1953388727969,254.57780349794237,16.22329617780545,15.955494461092153,0.6851851851851852,0.7407407407407407,0.5555555555555556,0.4444444444444444
5,52,13.949459006094113,11.79647435897436,313.0494252208093,244.04714209401712,17.693202797142447,15.622008260592398,0.6730769230769231,0.7115384615384616,0.5384615384615384,0.4230769230769231
6,48,15.65984425466513,12.161458333333334,356.2231719336373,244.2142650462963,18.87387538195686,15.627356303812116,0.625,0.7291666666666666,0.4166666666666667,0.3333333333333333
7,52,13.594045140557848,10.943910256410255,279.48009742531093,206.31583867521368,16.717658251839907,14.363698641896304,0.75,0.75,0.4230769230769231,0.36538461538461536
8,59,11.75941065165701,11.035310734463277,237.03214513364915,206.01094632768363,15.395848308347585,14.353081422735803,0.6779661016949152,0.711864406779661,0.559322033898305,0.5084745762711864
9,56,14.426422169298451,11.697916666666668,282.80520432753985,214.5918898809524,16.816813144217896,14.648955248786596,0.7142857142857143,0.8035714285714286,0.42857142857142855,0.32142857142857145
10,47,16.019109670840923,13.75177304964539,364.58586457018794,271.2316784869976,19.094131678874216,16.469112862780364,0.574468085106383,0.5957446808510638,0.5106382978723404,0.425531914893617
11,50,11.335302580957997,11.12,209.06716818936195,173.1811111111111,14.459155168589966,13.15982944840514,0.82,0.74,0.56,0.5
12,53,13.771927092757227,11.99056603773585,301.9820713589789,235.8045073375262,17.377631350646695,15.355927433324442,0.6981132075471698,0.7358490566037735,0.5094339622641509,0.4716981132075472
13,62,14.492350568720427,12.076612903225806,329.6335997632629,213.846438172043,18.155814489117883,14.623489261186709,0.6290322580645161,0.6612903225806451,0.43548387096774194,0.3548387096774194
